date_year,date_month,comment,rate,bookID,like,lable
1395,7,عالیه ، چند یال پیش خوندم,4.0,150.0,1.0,1.0
1398,8,کد تخفیف ۵۰ ٪ SB ۹۸ G ۳ RWA ۲۲۳ MB,5.0,150.0,2.0,1.0
1398,9,عالی بود ممنونم,5.0,150.0,5.0,1.0
1396,6,من چاپی خوندم عالی بود,5.0,150.0,7.0,1.0
1397,7,فقط میتونم بگم عالیه فضا رو خیلی خوب میتونید باهاش حس کنید,5.0,150.0,9.0,1.0
1395,8,اوه خدای من ، نسخه‌ی چاپیش رو دارم داستان جنگ و شیرزنی در بحبوحه‌ی خون دود و فداکاری و ایثار و ، ، ، . ، ، ، ، … .. ، ، ، ، ، ، ، ، با « دا » اشک‌ها ریختم « دا » =مادر به شیرمردان و شیرزنان سرزمینم افتخار می‌کنم …,5.0,150.0,0.0,1.0
1397,1,سلام . « دا » رو چاپیش رو خوندم . فوق‌العاده اس و بشدت پیشنهاد میشه . ولی من بیشتر جاهاشو با گریه و اشک خوندم …,5.0,150.0,7.0,1.0
1397,7,فقط و فقط میتونم بگم بینظیره قلم نویسنده عالیه و اشک آدم ناخودآگاه در میاد,5.0,150.0,7.0,1.0
1396,11,عالی ؛ خیلی بود,5.0,150.0,5.0,1.0
1398,8,بسیار بسیار زیبا و در عین حال بسیار غم‌انگیز و سخت .. ‌ . از دست دادن شهری که مال توست ، کوچه به کوچه و محله به محله از دست دادن دوستان و مردمی که می‌شناختی ، یکی بعد از دیگری از دست دادن عزیز‌ترین نزدیکانت و با همه این احوال ایستادن و قد خم نکردن . خیلی تاثیر گذاره هر ایرانی دست‌کم یه بار باید بخونه صحنه‌ها و توصیفات عالیه کسی که این کتاب رو مطالعه کنه ، حقیقتا انگار چند روز زیر باران گلوله و خون ، زندگی کرده .,5.0,150.0,5.0,1.0
1396,5,خیلی عالی بود,5.0,150.0,6.0,1.0
1395,10,من خواستم این کتابو از کتا بخونه بگیرم بخونم ولی به من ندادند . به من گفتن به سن شما نمیخوره . اخه چرا ؟,5.0,150.0,0.0,1.0
1396,3,دا زندگی وسرنوشتی دارد که درنوع خود بی‌نظیر است .. دا کتابی است که میتوان یک عمر باآن زندگی کرد ، درس هایی که این کتاب به خواننده می‌آموزد واحساسی که باخواندن آن پیدا می‌کند با کلمات قابل توصیف نیستند .. کتابی شیرین که صفحه به صفحه‌ی آن سرشار از زندگی است . یک زندگی از نوع ایستادگی … یک زندگی از نوع عشق وایثار ..,5.0,150.0,5.0,1.0
1396,10,ممنون از گذاشتن این کتاب : ),5.0,210.0,0.0,1.0
1396,4,عرض ادب ؛ حافظ ! از باد خزان در چمن دهر مرنج فکر معقول بفرما گل بی‌خار کجاست ! گل و خار هر دو با هم معنا و موجودیت پیدا می‌کنند . خار چیزی خارج از هستی گل نیست و با وجود و همنشینی خار است که گل اهمیت پیدا می‌کند . جهان هستی مجموعه‌ای از این دوگانه‌ها و تقابل‌های گل و خار است . از دیدگاه دیالکتیک هگل هستی منظومه‌ای از عناصر متضاد اما مرتبط با یکدیگر اند . به نظر هگل اشکال زندگی و جامعه در ضدیت و در تقابل یکدیگر کاملتر می‌شوند و پیش می‌روند . مقولات ذهن ما انسان‌ها با یکدیگر در رقابت بوده و از این منازعه و تقابل ، مقوله‌ای بهتر و رساتر بوجود می‌آید . همت نوری,5.0,210.0,11.0,1.0
1394,3,کارتون عالیه . واقعا زحمت کشیدین .,5.0,210.0,0.0,1.0
1396,4,فردوسی و مولوی و حافظ و خیام ( که امروزه مدعیانی پیدا کرده‌اند ! ) البته نام بزرگی در ادبیات بین‌المللی دارند اما اگر تنها دلمان را خوش بکنیم که این شعرا خاتم ادبیات می‌باشند بسیار ابلهانه است . آیا انگلیس با شکسپیر و آلمان با گوته و روسیه با پوشکین ، در ادبیاتشان را تخته کردند و دست روی دستشان گذاشتند و نشستند یا صدها نابغه دیگر در دنیای علم و ادب به وجود آوردند ؟ ملتی که سر دوراهه گیر کرد و در جهل مرکب ماند یا باید درجا بزند و یا به قهقرا برگردد . از همین نادانی و خودپسندی ما نتیجه شده که از میلیونها آثار ادبی و علمی دنیا بکلی بی خبریم و به زبان فارسی ترجمه نشده و یا اگر شده طرف اطمینان نیست . اشک تمساح صادق خان هدایت,5.0,210.0,6.0,1.0
1397,6,کوچکتر از انیم که درباره این انسان والا نظر بدیم . فقط می‌تونم بگم به تمام معنا انسان با روحی با عظمت وهوش عاطفی در حد کمال …درود به روان پاکش …,5.0,210.0,6.0,1.0
1396,12,عاشق شعرای حافظم ولی خودش باهام سرلج داره فال کهومیگیرم بی‌ربط‌ترین شعرشو میده … برای فال باید چکار کنیم دقیقا ؟,5.0,210.0,2.0,1.0
1395,11,واقعا بی نظیره,5.0,210.0,0.0,1.0
1398,3,این‌که طاقچه اشعار شاعران بزرگ رو قرار داده بسیار کار خوبیه . واقعا جای تشکر داره اما متاسفانه عیبشون اینه که معنی کلمات رو ندارن خیلی از شعر‌ها رو آدم میخونه متوجه نمیشه .,5.0,210.0,3.0,1.0
1395,9,خیلی عالیه سپاسگزارم طاقچه ممنون که رایگانه❌,5.0,210.0,1.0,1.0
1398,7,| حافظ چه طرفه شاخ نباتیست کلک تو … غزلهایی مرموز و در پرده که به دل‌خوش می‌نشینند ! ❤,5.0,210.0,3.0,1.0
1395,10,بسیارعالی,5.0,210.0,0.0,1.0
1398,2,نظری خواست که بیند به جهان ، صورت خویش خیمه در آب و گل مزرعه آدم زد . ( حضرت حافظ ),5.0,210.0,2.0,1.0
1395,7,مثل اینکه برای اینکه ثابت کنی بلدی باید شعر بذاری پس : راهی بزن که آهی بر ساز آن توان زد … عشق است و داد اول بر نقد جان توان زد,0.0,210.0,0.0,0.0
1394,12,ارزش خوندن و عمل کردن بهش رو داره,5.0,245.0,0.0,1.0
1394,4,واقعا داستان زیبای بود . من که به هنگام خوندن این داستان بغضم گرفته_بود وبه زحمت تونستم این داستانو که واقعیت جامعه امروز رو تموم کنم ( سپاس … ),5.0,245.0,0.0,1.0
1396,11,خیلی عالی بود,5.0,245.0,4.0,1.0
1397,10,قشنگ بود : ),5.0,245.0,0.0,1.0
1394,8,خیلی عالی بود هم کوتاه هم جذاب,5.0,245.0,0.0,1.0
1395,12,خیلی قشنگ بود کوتاه و مختصر,5.0,245.0,2.0,1.0
1397,8,عالیه خیلی جذاب و روان نوشته‌شده,5.0,245.0,1.0,1.0
1396,10,موضوع کلی داستان خیلی خوب بود و به نظرم تلنگری که احتمالا هدف نویسنده بوده برای خواننده‌ها به وجود اومد ولی بازهم می‌شد از ایده‌ی پخته‌تری استفاده کرد .,4.0,245.0,2.0,1.0
1394,1,نثرش که یه حالتی بین محاوره و کتابی بود اذیت کننده بود ولی در کل ممنون .,5.0,245.0,0.0,1.0
1394,4,محتوا جالب ولی نثر خیلی لذت‌بخش نبود ...,5.0,245.0,0.0,1.0
1394,7,وای خیلی عالی بود,5.0,245.0,0.0,1.0
1395,6,عالی بود .,5.0,245.0,1.0,1.0
